Özel - Cinsellik ve Mahremiyet
==============================
- dudaktan optu | Kelime / ifade | Risk 4 | Aktif
- salak | Kelime / ifade | Risk 3 | Aktif
- salak anlatımı | Kelime / ifade | Risk 3 | Aktif
- salak çağrışımı | Kelime / ifade | Risk 3 | Aktif
- salak davranışı | Kelime / ifade | Risk 3 | Aktif
- salak göndermesi | Kelime / ifade | Risk 3 | Aktif
- salak ifadesi | Kelime / ifade | Risk 3 | Aktif
- salak konuşması | Kelime / ifade | Risk 3 | Aktif
- salak sahnesi | Kelime / ifade | Risk 3 | Aktif
- salak tasviri | Kelime / ifade | Risk 3 | Aktif
- salak vurgusu | Kelime / ifade | Risk 3 | Aktif
- serseri | Kelime / ifade | Risk 3 | Aktif
- serseri anlatımı | Kelime / ifade | Risk 3 | Aktif
- serseri göndermesi | Kelime / ifade | Risk 3 | Aktif
- serseri ifadesi | Kelime / ifade | Risk 3 | Aktif
- serseri sahnesi | Kelime / ifade | Risk 3 | Aktif
- şerefsiz | Kelime / ifade | Risk 3 | Aktif
- şerefsiz anlatımı | Kelime / ifade | Risk 3 | Aktif
- şerefsiz ifadesi | Kelime / ifade | Risk 3 | Aktif
- şerefsiz sahnesi | Kelime / ifade | Risk 3 | Aktif
- tehditkâr söz | Kelime / ifade | Risk 3 | Aktif
- tehditkâr söz anlatımı | Kelime / ifade | Risk 3 | Aktif
- tehditkâr söz ifadesi | Kelime / ifade | Risk 3 | Aktif
- tehditkâr söz sahnesi | Kelime / ifade | Risk 3 | Aktif
- ulan | Kelime / ifade | Risk 3 | Aktif
- ulan anlatımı | Kelime / ifade | Risk 3 | Aktif
- ulan göndermesi | Kelime / ifade | Risk 3 | Aktif
- ulan ifadesi | Kelime / ifade | Risk 3 | Aktif
- ulan sahnesi | Kelime / ifade | Risk 3 | Aktif

Sistem - Korku, Travma ve Karanlık Unsurlar
===========================================
- canavar | Kelime / ifade | Risk 3 | Aktif
- canavar anlatımı | Kelime / ifade | Risk 3 | Aktif
- canavar göndermesi | Kelime / ifade | Risk 3 | Aktif
- canavar ifadesi | Kelime / ifade | Risk 3 | Aktif
- canavar sahnesi | Kelime / ifade | Risk 3 | Aktif
- cin | Kelime / ifade | Risk 3 | Aktif
- cin anlatımı | Kelime / ifade | Risk 3 | Aktif
- cin göndermesi | Kelime / ifade | Risk 3 | Aktif
- cin ifadesi | Kelime / ifade | Risk 3 | Aktif
- cin sahnesi | Kelime / ifade | Risk 3 | Aktif
- çığlık | Kelime / ifade | Risk 3 | Aktif
- çığlık anlatımı | Kelime / ifade | Risk 3 | Aktif
- çığlık göndermesi | Kelime / ifade | Risk 3 | Aktif
- çığlık ifadesi | Kelime / ifade | Risk 3 | Aktif
- çığlık sahnesi | Kelime / ifade | Risk 3 | Aktif
- dehşet | Kelime / ifade | Risk 3 | Aktif
- dehşet anlatımı | Kelime / ifade | Risk 3 | Aktif
- dehşet göndermesi | Kelime / ifade | Risk 3 | Aktif
- dehşet ifadesi | Kelime / ifade | Risk 3 | Aktif
- dehşet sahnesi | Kelime / ifade | Risk 3 | Aktif
- gece korkusu | Kelime / ifade | Risk 3 | Aktif
- gece korkusu anlatımı | Kelime / ifade | Risk 3 | Aktif
- gece korkusu ifadesi | Kelime / ifade | Risk 3 | Aktif
- gece korkusu sahnesi | Kelime / ifade | Risk 3 | Aktif
- hayalet | Kelime / ifade | Risk 3 | Aktif
- hayalet anlatımı | Kelime / ifade | Risk 3 | Aktif
- hayalet göndermesi | Kelime / ifade | Risk 3 | Aktif
- hayalet ifadesi | Kelime / ifade | Risk 3 | Aktif
- hayalet sahnesi | Kelime / ifade | Risk 3 | Aktif
- iblis | Kelime / ifade | Risk 3 | Aktif
- iblis anlatımı | Kelime / ifade | Risk 3 | Aktif
- iblis göndermesi | Kelime / ifade | Risk 3 | Aktif
- iblis ifadesi | Kelime / ifade | Risk 3 | Aktif
- iblis sahnesi | Kelime / ifade | Risk 3 | Aktif
- kabus | Kelime / ifade | Risk 3 | Aktif
- kabus anlatımı | Kelime / ifade | Risk 3 | Aktif
- kabus göndermesi | Kelime / ifade | Risk 3 | Aktif
- kabus ifadesi | Kelime / ifade | Risk 3 | Aktif
- kabus sahnesi | Kelime / ifade | Risk 3 | Aktif
- kaçış | Kelime / ifade | Risk 3 | Aktif
- kaçış anlatımı | Kelime / ifade | Risk 3 | Aktif
- kaçış göndermesi | Kelime / ifade | Risk 3 | Aktif
- kaçış ifadesi | Kelime / ifade | Risk 3 | Aktif
- kaçış sahnesi | Kelime / ifade | Risk 3 | Aktif
- kanlı yüz | Kelime / ifade | Risk 3 | Aktif
- kanlı yüz anlatımı | Kelime / ifade | Risk 3 | Aktif
- kanlı yüz ifadesi | Kelime / ifade | Risk 3 | Aktif
- kanlı yüz sahnesi | Kelime / ifade | Risk 3 | Aktif
- karabasan | Kelime / ifade | Risk 3 | Aktif
- karabasan anlatımı | Kelime / ifade | Risk 3 | Aktif
- karabasan ifadesi | Kelime / ifade | Risk 3 | Aktif
- karabasan sahnesi | Kelime / ifade | Risk 3 | Aktif
- karanlık oda | Kelime / ifade | Risk 3 | Aktif
- karanlık oda anlatımı | Kelime / ifade | Risk 3 | Aktif
- karanlık oda ifadesi | Kelime / ifade | Risk 3 | Aktif
- karanlık oda sahnesi | Kelime / ifade | Risk 3 | Aktif
- korku oyunu | Kelime / ifade | Risk 3 | Aktif
- korku oyunu anlatımı | Kelime / ifade | Risk 3 | Aktif
- korku oyunu ifadesi | Kelime / ifade | Risk 3 | Aktif
- korku oyunu sahnesi | Kelime / ifade | Risk 3 | Aktif
- korkunç | Kelime / ifade | Risk 3 | Aktif
- korkunç anlatımı | Kelime / ifade | Risk 3 | Aktif
- korkunç göndermesi | Kelime / ifade | Risk 3 | Aktif
- korkunç ifadesi | Kelime / ifade | Risk 3 | Aktif
- korkunç sahnesi | Kelime / ifade | Risk 3 | Aktif
- lanet | Kelime / ifade | Risk 3 | Aktif
- lanet anlatımı | Kelime / ifade | Risk 3 | Aktif
- lanet göndermesi | Kelime / ifade | Risk 3 | Aktif
- lanet ifadesi | Kelime / ifade | Risk 3 | Aktif
- lanet sahnesi | Kelime / ifade | Risk 3 | Aktif
- mezar taşı | Kelime / ifade | Risk 3 | Aktif
- mezar taşı anlatımı | Kelime / ifade | Risk 3 | Aktif
- mezar taşı ifadesi | Kelime / ifade | Risk 3 | Aktif
- mezar taşı sahnesi | Kelime / ifade | Risk 3 | Aktif
- mezarlık | Kelime / ifade | Risk 3 | Aktif
- mezarlık anlatımı | Kelime / ifade | Risk 3 | Aktif
- mezarlık göndermesi | Kelime / ifade | Risk 3 | Aktif
- mezarlık ifadesi | Kelime / ifade | Risk 3 | Aktif
- mezarlık sahnesi | Kelime / ifade | Risk 3 | Aktif
- ölü | Kelime / ifade | Risk 3 | Aktif
- ölü anlatımı | Kelime / ifade | Risk 3 | Aktif
- ölü göndermesi | Kelime / ifade | Risk 3 | Aktif
- ölü ifadesi | Kelime / ifade | Risk 3 | Aktif
- ölü sahnesi | Kelime / ifade | Risk 3 | Aktif
- ölüler | Kelime / ifade | Risk 3 | Aktif
- ölüler anlatımı | Kelime / ifade | Risk 3 | Aktif
- ölüler göndermesi | Kelime / ifade | Risk 3 | Aktif
- ölüler ifadesi | Kelime / ifade | Risk 3 | Aktif
- ölüler sahnesi | Kelime / ifade | Risk 3 | Aktif
- ölüm tehdidi | Kelime / ifade | Risk 3 | Aktif
- ölüm tehdidi anlatımı | Kelime / ifade | Risk 3 | Aktif
- ölüm tehdidi ifadesi | Kelime / ifade | Risk 3 | Aktif
- ölüm tehdidi sahnesi | Kelime / ifade | Risk 3 | Aktif
- panik | Kelime / ifade | Risk 3 | Aktif
- panik anlatımı | Kelime / ifade | Risk 3 | Aktif
- panik göndermesi | Kelime / ifade | Risk 3 | Aktif
- panik ifadesi | Kelime / ifade | Risk 3 | Aktif
- panik sahnesi | Kelime / ifade | Risk 3 | Aktif
- perili ev | Kelime / ifade | Risk 3 | Aktif
- perili ev anlatımı | Kelime / ifade | Risk 3 | Aktif
- perili ev ifadesi | Kelime / ifade | Risk 3 | Aktif
- perili ev sahnesi | Kelime / ifade | Risk 3 | Aktif
- saklanmak | Kelime / ifade | Risk 3 | Aktif
- saklanmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- saklanmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- saklanmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- şeytan | Kelime / ifade | Risk 3 | Aktif
- şeytan anlatımı | Kelime / ifade | Risk 3 | Aktif
- şeytan göndermesi | Kelime / ifade | Risk 3 | Aktif
- şeytan ifadesi | Kelime / ifade | Risk 3 | Aktif
- şeytan sahnesi | Kelime / ifade | Risk 3 | Aktif
- takip edilmek | Kelime / ifade | Risk 3 | Aktif
- takip edilmek anlatımı | Kelime / ifade | Risk 3 | Aktif
- takip edilmek ifadesi | Kelime / ifade | Risk 3 | Aktif
- takip edilmek sahnesi | Kelime / ifade | Risk 3 | Aktif
- travma | Kelime / ifade | Risk 3 | Aktif
- travma anlatımı | Kelime / ifade | Risk 3 | Aktif
- travma göndermesi | Kelime / ifade | Risk 3 | Aktif
- travma ifadesi | Kelime / ifade | Risk 3 | Aktif
- travma sahnesi | Kelime / ifade | Risk 3 | Aktif
- uğursuz | Kelime / ifade | Risk 3 | Aktif
- uğursuz anlatımı | Kelime / ifade | Risk 3 | Aktif
- uğursuz göndermesi | Kelime / ifade | Risk 3 | Aktif
- uğursuz ifadesi | Kelime / ifade | Risk 3 | Aktif
- uğursuz sahnesi | Kelime / ifade | Risk 3 | Aktif
- ürpertici | Kelime / ifade | Risk 3 | Aktif
- ürpertici anlatımı | Kelime / ifade | Risk 3 | Aktif
- ürpertici ifadesi | Kelime / ifade | Risk 3 | Aktif
- ürpertici sahnesi | Kelime / ifade | Risk 3 | Aktif
- vahşi yaratık | Kelime / ifade | Risk 3 | Aktif
- vahşi yaratık anlatımı | Kelime / ifade | Risk 3 | Aktif
- vahşi yaratık ifadesi | Kelime / ifade | Risk 3 | Aktif
- vahşi yaratık sahnesi | Kelime / ifade | Risk 3 | Aktif

Sistem - Okültizm ve Batıl İnanç
================================
- astroloji yönlendirmesi | Kelime / ifade | Risk 4 | Aktif
- astroloji yönlendirmesi ifadesi | Kelime / ifade | Risk 4 | Aktif
- astroloji yönlendirmesi sahnesi | Kelime / ifade | Risk 4 | Aktif
- ayin | Kelime / ifade | Risk 4 | Aktif
- ayin anlatımı | Kelime / ifade | Risk 4 | Aktif
- ayin göndermesi | Kelime / ifade | Risk 4 | Aktif
- ayin ifadesi | Kelime / ifade | Risk 4 | Aktif
- ayin sahnesi | Kelime / ifade | Risk 4 | Aktif
- burç kaderi | Kelime / ifade | Risk 4 | Aktif
- burç kaderi anlatımı | Kelime / ifade | Risk 4 | Aktif
- burç kaderi ifadesi | Kelime / ifade | Risk 4 | Aktif
- burç kaderi sahnesi | Kelime / ifade | Risk 4 | Aktif
- büyü | Kelime / ifade | Risk 4 | Aktif
- büyü anlatımı | Kelime / ifade | Risk 4 | Aktif
- büyü göndermesi | Kelime / ifade | Risk 4 | Aktif
- büyü ifadesi | Kelime / ifade | Risk 4 | Aktif
- büyü sahnesi | Kelime / ifade | Risk 4 | Aktif
- büyücü | Kelime / ifade | Risk 4 | Aktif
- büyücü anlatımı | Kelime / ifade | Risk 4 | Aktif
- büyücü göndermesi | Kelime / ifade | Risk 4 | Aktif
- büyücü ifadesi | Kelime / ifade | Risk 4 | Aktif
- büyücü sahnesi | Kelime / ifade | Risk 4 | Aktif
- cadı | Kelime / ifade | Risk 4 | Aktif
- cadı anlatımı | Kelime / ifade | Risk 4 | Aktif
- cadı göndermesi | Kelime / ifade | Risk 4 | Aktif
- cadı ifadesi | Kelime / ifade | Risk 4 | Aktif
- cadı sahnesi | Kelime / ifade | Risk 4 | Aktif
- cin çağırma | Kelime / ifade | Risk 4 | Aktif
- cin çağırma anlatımı | Kelime / ifade | Risk 4 | Aktif
- cin çağırma ifadesi | Kelime / ifade | Risk 4 | Aktif
- cin çağırma sahnesi | Kelime / ifade | Risk 4 | Aktif
- doğaüstü güç | Kelime / ifade | Risk 4 | Aktif
- doğaüstü güç anlatımı | Kelime / ifade | Risk 4 | Aktif
- doğaüstü güç ifadesi | Kelime / ifade | Risk 4 | Aktif
- doğaüstü güç sahnesi | Kelime / ifade | Risk 4 | Aktif
- fal | Kelime / ifade | Risk 4 | Aktif
- fal anlatımı | Kelime / ifade | Risk 4 | Aktif
- fal baktırmak | Kelime / ifade | Risk 4 | Aktif
- fal baktırmak anlatımı | Kelime / ifade | Risk 4 | Aktif
- fal baktırmak ifadesi | Kelime / ifade | Risk 4 | Aktif
- fal baktırmak sahnesi | Kelime / ifade | Risk 4 | Aktif
- fal göndermesi | Kelime / ifade | Risk 4 | Aktif
- fal ifadesi | Kelime / ifade | Risk 4 | Aktif
- fal sahnesi | Kelime / ifade | Risk 4 | Aktif
- gizli güç | Kelime / ifade | Risk 4 | Aktif
- gizli güç anlatımı | Kelime / ifade | Risk 4 | Aktif
- gizli güç ifadesi | Kelime / ifade | Risk 4 | Aktif
- gizli güç sahnesi | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı göndermesi | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı mistik | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı ritüeli | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı sembolü | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı sembolü ifadesi | Kelime / ifade | Risk 4 | Aktif
- gökkuşağı sembolü sahnesi | Kelime / ifade | Risk 4 | Aktif
- kanlı ayin | Kelime / ifade | Risk 4 | Aktif
- kanlı ayin anlatımı | Kelime / ifade | Risk 4 | Aktif
- kanlı ayin ifadesi | Kelime / ifade | Risk 4 | Aktif
- kanlı ayin sahnesi | Kelime / ifade | Risk 4 | Aktif
- kara büyü | Kelime / ifade | Risk 4 | Aktif
- kara büyü anlatımı | Kelime / ifade | Risk 4 | Aktif
- kara büyü ifadesi | Kelime / ifade | Risk 4 | Aktif
- kara büyü sahnesi | Kelime / ifade | Risk 4 | Aktif
- kehanet | Kelime / ifade | Risk 4 | Aktif
- kehanet anlatımı | Kelime / ifade | Risk 4 | Aktif
- kehanet göndermesi | Kelime / ifade | Risk 4 | Aktif
- kehanet ifadesi | Kelime / ifade | Risk 4 | Aktif
- kehanet sahnesi | Kelime / ifade | Risk 4 | Aktif
- lanetleme | Kelime / ifade | Risk 4 | Aktif
- lanetleme anlatımı | Kelime / ifade | Risk 4 | Aktif
- lanetleme ifadesi | Kelime / ifade | Risk 4 | Aktif
- lanetleme sahnesi | Kelime / ifade | Risk 4 | Aktif
- medyum | Kelime / ifade | Risk 4 | Aktif
- medyum anlatımı | Kelime / ifade | Risk 4 | Aktif
- medyum göndermesi | Kelime / ifade | Risk 4 | Aktif
- medyum ifadesi | Kelime / ifade | Risk 4 | Aktif
- medyum sahnesi | Kelime / ifade | Risk 4 | Aktif
- mistik ritüel | Kelime / ifade | Risk 4 | Aktif
- mistik ritüel anlatımı | Kelime / ifade | Risk 4 | Aktif
- mistik ritüel ifadesi | Kelime / ifade | Risk 4 | Aktif
- mistik ritüel sahnesi | Kelime / ifade | Risk 4 | Aktif
- muska | Kelime / ifade | Risk 4 | Aktif
- muska anlatımı | Kelime / ifade | Risk 4 | Aktif
- muska göndermesi | Kelime / ifade | Risk 4 | Aktif
- muska ifadesi | Kelime / ifade | Risk 4 | Aktif
- muska sahnesi | Kelime / ifade | Risk 4 | Aktif
- okült | Kelime / ifade | Risk 4 | Aktif
- okült anlatımı | Kelime / ifade | Risk 4 | Aktif
- okült göndermesi | Kelime / ifade | Risk 4 | Aktif
- okült ifadesi | Kelime / ifade | Risk 4 | Aktif
- okült sahnesi | Kelime / ifade | Risk 4 | Aktif
- periler gerçek | Kelime / ifade | Risk 4 | Aktif
- periler gerçek anlatımı | Kelime / ifade | Risk 4 | Aktif
- periler gerçek ifadesi | Kelime / ifade | Risk 4 | Aktif
- periler gerçek sahnesi | Kelime / ifade | Risk 4 | Aktif
- ruh çağırma | Kelime / ifade | Risk 4 | Aktif
- ruh çağırma anlatımı | Kelime / ifade | Risk 4 | Aktif
- ruh çağırma ifadesi | Kelime / ifade | Risk 4 | Aktif
- ruh çağırma sahnesi | Kelime / ifade | Risk 4 | Aktif
- sihir | Kelime / ifade | Risk 4 | Aktif
- sihir anlatımı | Kelime / ifade | Risk 4 | Aktif
- sihir göndermesi | Kelime / ifade | Risk 4 | Aktif
- sihir ifadesi | Kelime / ifade | Risk 4 | Aktif
- sihir sahnesi | Kelime / ifade | Risk 4 | Aktif
- şeytani ritüel | Kelime / ifade | Risk 4 | Aktif
- şeytani ritüel anlatımı | Kelime / ifade | Risk 4 | Aktif
- şeytani ritüel ifadesi | Kelime / ifade | Risk 4 | Aktif
- şeytani ritüel sahnesi | Kelime / ifade | Risk 4 | Aktif
- tılsım | Kelime / ifade | Risk 4 | Aktif
- tılsım anlatımı | Kelime / ifade | Risk 4 | Aktif
- tılsım göndermesi | Kelime / ifade | Risk 4 | Aktif
- tılsım ifadesi | Kelime / ifade | Risk 4 | Aktif
- tılsım sahnesi | Kelime / ifade | Risk 4 | Aktif
- uğur taşı | Kelime / ifade | Risk 4 | Aktif
- uğur taşı anlatımı | Kelime / ifade | Risk 4 | Aktif
- uğur taşı ifadesi | Kelime / ifade | Risk 4 | Aktif
- uğur taşı sahnesi | Kelime / ifade | Risk 4 | Aktif

Sistem - Olumsuz Davranış Modeli
================================
- anneye bağırmak | Kelime / ifade | Risk 3 | Aktif
- anneye bağırmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- anneye bağırmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- anneye bağırmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- arkadaşını dışlamak | Kelime / ifade | Risk 3 | Aktif
- arkadaşını dışlamak ifadesi | Kelime / ifade | Risk 3 | Aktif
- arkadaşını dışlamak sahnesi | Kelime / ifade | Risk 3 | Aktif
- babaya saygısızlık | Kelime / ifade | Risk 3 | Aktif
- babaya saygısızlık ifadesi | Kelime / ifade | Risk 3 | Aktif
- babaya saygısızlık sahnesi | Kelime / ifade | Risk 3 | Aktif
- bencillik | Kelime / ifade | Risk 3 | Aktif
- bencillik anlatımı | Kelime / ifade | Risk 3 | Aktif
- bencillik ifadesi | Kelime / ifade | Risk 3 | Aktif
- bencillik sahnesi | Kelime / ifade | Risk 3 | Aktif
- çalmak | Kelime / ifade | Risk 3 | Aktif
- çalmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- çalmak göndermesi | Kelime / ifade | Risk 3 | Aktif
- çalmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- çalmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- dersi bozmak | Kelime / ifade | Risk 3 | Aktif
- dersi bozmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- dersi bozmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- dersi bozmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- emek vermeden kazanmak | Kelime / ifade | Risk 3 | Aktif
- emek vermeden kazanmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- emek vermeden kazanmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- eşyaya zarar | Kelime / ifade | Risk 3 | Aktif
- eşyaya zarar anlatımı | Kelime / ifade | Risk 3 | Aktif
- eşyaya zarar ifadesi | Kelime / ifade | Risk 3 | Aktif
- eşyaya zarar sahnesi | Kelime / ifade | Risk 3 | Aktif
- gösteriş | Kelime / ifade | Risk 3 | Aktif
- gösteriş anlatımı | Kelime / ifade | Risk 3 | Aktif
- gösteriş ifadesi | Kelime / ifade | Risk 3 | Aktif
- gösteriş sahnesi | Kelime / ifade | Risk 3 | Aktif
- hayvana zarar | Kelime / ifade | Risk 3 | Aktif
- hayvana zarar anlatımı | Kelime / ifade | Risk 3 | Aktif
- hayvana zarar ifadesi | Kelime / ifade | Risk 3 | Aktif
- hayvana zarar sahnesi | Kelime / ifade | Risk 3 | Aktif
- hile yapmak | Kelime / ifade | Risk 3 | Aktif
- hile yapmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- hile yapmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- hile yapmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- intikam planı | Kelime / ifade | Risk 3 | Aktif
- intikam planı anlatımı | Kelime / ifade | Risk 3 | Aktif
- intikam planı ifadesi | Kelime / ifade | Risk 3 | Aktif
- intikam planı sahnesi | Kelime / ifade | Risk 3 | Aktif
- itaatsizlik | Kelime / ifade | Risk 3 | Aktif
- itaatsizlik anlatımı | Kelime / ifade | Risk 3 | Aktif
- itaatsizlik ifadesi | Kelime / ifade | Risk 3 | Aktif
- itaatsizlik sahnesi | Kelime / ifade | Risk 3 | Aktif
- kıskançlık | Kelime / ifade | Risk 3 | Aktif
- kıskançlık anlatımı | Kelime / ifade | Risk 3 | Aktif
- kıskançlık ifadesi | Kelime / ifade | Risk 3 | Aktif
- kıskançlık sahnesi | Kelime / ifade | Risk 3 | Aktif
- kopya çekmek | Kelime / ifade | Risk 3 | Aktif
- kopya çekmek anlatımı | Kelime / ifade | Risk 3 | Aktif
- kopya çekmek ifadesi | Kelime / ifade | Risk 3 | Aktif
- kopya çekmek sahnesi | Kelime / ifade | Risk 3 | Aktif
- lüks özentisi | Kelime / ifade | Risk 3 | Aktif
- lüks özentisi anlatımı | Kelime / ifade | Risk 3 | Aktif
- lüks özentisi ifadesi | Kelime / ifade | Risk 3 | Aktif
- lüks özentisi sahnesi | Kelime / ifade | Risk 3 | Aktif
- okuldan kaçmak | Kelime / ifade | Risk 3 | Aktif
- okuldan kaçmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- okuldan kaçmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- okuldan kaçmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- öğretmene hakaret | Kelime / ifade | Risk 3 | Aktif
- öğretmene hakaret ifadesi | Kelime / ifade | Risk 3 | Aktif
- öğretmene hakaret sahnesi | Kelime / ifade | Risk 3 | Aktif
- parayı yüceltmek | Kelime / ifade | Risk 3 | Aktif
- parayı yüceltmek ifadesi | Kelime / ifade | Risk 3 | Aktif
- parayı yüceltmek sahnesi | Kelime / ifade | Risk 3 | Aktif
- sorumluluktan kaçmak | Kelime / ifade | Risk 3 | Aktif
- sorumluluktan kaçmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- sorumluluktan kaçmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- yalan söylemek | Kelime / ifade | Risk 3 | Aktif
- yalan söylemek anlatımı | Kelime / ifade | Risk 3 | Aktif
- yalan söylemek ifadesi | Kelime / ifade | Risk 3 | Aktif
- yalan söylemek sahnesi | Kelime / ifade | Risk 3 | Aktif

Sistem - Reklam ve Ticari Yönlendirme
=====================================
- abone ol | Kelime / ifade | Risk 2 | Aktif
- abone ol anlatımı | Kelime / ifade | Risk 2 | Aktif
- abone ol ifadesi | Kelime / ifade | Risk 2 | Aktif
- abone ol sahnesi | Kelime / ifade | Risk 2 | Aktif
- dış bağlantı | Kelime / ifade | Risk 2 | Aktif
- dış bağlantı anlatımı | Kelime / ifade | Risk 2 | Aktif
- dış bağlantı ifadesi | Kelime / ifade | Risk 2 | Aktif
- dış bağlantı sahnesi | Kelime / ifade | Risk 2 | Aktif
- indirim kodu | Kelime / ifade | Risk 2 | Aktif
- indirim kodu anlatımı | Kelime / ifade | Risk 2 | Aktif
- indirim kodu ifadesi | Kelime / ifade | Risk 2 | Aktif
- indirim kodu sahnesi | Kelime / ifade | Risk 2 | Aktif
- kampanya | Kelime / ifade | Risk 2 | Aktif
- kampanya anlatımı | Kelime / ifade | Risk 2 | Aktif
- kampanya ifadesi | Kelime / ifade | Risk 2 | Aktif
- kampanya sahnesi | Kelime / ifade | Risk 2 | Aktif
- mağaza linki | Kelime / ifade | Risk 2 | Aktif
- mağaza linki anlatımı | Kelime / ifade | Risk 2 | Aktif
- mağaza linki ifadesi | Kelime / ifade | Risk 2 | Aktif
- mağaza linki sahnesi | Kelime / ifade | Risk 2 | Aktif
- marka adı | Kelime / ifade | Risk 2 | Aktif
- marka adı anlatımı | Kelime / ifade | Risk 2 | Aktif
- marka adı ifadesi | Kelime / ifade | Risk 2 | Aktif
- marka adı sahnesi | Kelime / ifade | Risk 2 | Aktif
- oyun içi satın alma | Kelime / ifade | Risk 2 | Aktif
- oyun içi satın alma ifadesi | Kelime / ifade | Risk 2 | Aktif
- oyun içi satın alma sahnesi | Kelime / ifade | Risk 2 | Aktif
- QR kod | Kelime / ifade | Risk 2 | Aktif
- QR kod anlatımı | Kelime / ifade | Risk 2 | Aktif
- QR kod ifadesi | Kelime / ifade | Risk 2 | Aktif
- QR kod sahnesi | Kelime / ifade | Risk 2 | Aktif
- reklam metni | Kelime / ifade | Risk 2 | Aktif
- reklam metni anlatımı | Kelime / ifade | Risk 2 | Aktif
- reklam metni ifadesi | Kelime / ifade | Risk 2 | Aktif
- reklam metni sahnesi | Kelime / ifade | Risk 2 | Aktif
- satın al | Kelime / ifade | Risk 2 | Aktif
- satın al anlatımı | Kelime / ifade | Risk 2 | Aktif
- satın al ifadesi | Kelime / ifade | Risk 2 | Aktif
- satın al sahnesi | Kelime / ifade | Risk 2 | Aktif
- sosyal medya hesabı | Kelime / ifade | Risk 2 | Aktif
- sosyal medya hesabı ifadesi | Kelime / ifade | Risk 2 | Aktif
- sosyal medya hesabı sahnesi | Kelime / ifade | Risk 2 | Aktif
- sponsor | Kelime / ifade | Risk 2 | Aktif
- sponsor anlatımı | Kelime / ifade | Risk 2 | Aktif
- sponsor ifadesi | Kelime / ifade | Risk 2 | Aktif
- sponsor sahnesi | Kelime / ifade | Risk 2 | Aktif
- takip et | Kelime / ifade | Risk 2 | Aktif
- takip et anlatımı | Kelime / ifade | Risk 2 | Aktif
- takip et ifadesi | Kelime / ifade | Risk 2 | Aktif
- takip et sahnesi | Kelime / ifade | Risk 2 | Aktif
- ticari yönlendirme | Kelime / ifade | Risk 2 | Aktif
- ticari yönlendirme ifadesi | Kelime / ifade | Risk 2 | Aktif
- ticari yönlendirme sahnesi | Kelime / ifade | Risk 2 | Aktif
- uygulama indir | Kelime / ifade | Risk 2 | Aktif
- uygulama indir anlatımı | Kelime / ifade | Risk 2 | Aktif
- uygulama indir ifadesi | Kelime / ifade | Risk 2 | Aktif
- uygulama indir sahnesi | Kelime / ifade | Risk 2 | Aktif
- ürün yerleştirme | Kelime / ifade | Risk 2 | Aktif
- ürün yerleştirme anlatımı | Kelime / ifade | Risk 2 | Aktif
- ürün yerleştirme ifadesi | Kelime / ifade | Risk 2 | Aktif
- ürün yerleştirme sahnesi | Kelime / ifade | Risk 2 | Aktif

Sistem - Şiddet ve Suç
======================
- adam öldürme | Kelime / ifade | Risk 3 | Aktif
- balta | Kelime / ifade | Risk 3 | Aktif
- bıçağı | Kelime / ifade | Risk 3 | Aktif
- bıçağın | Kelime / ifade | Risk 3 | Aktif
- bıçağından | Kelime / ifade | Risk 3 | Aktif
- bıçağını | Kelime / ifade | Risk 3 | Aktif
- bıçak | Kelime / ifade | Risk 3 | Aktif
- bıçak | Kelime / ifade | Risk 3 | Aktif
- bıçak anlatımı | Kelime / ifade | Risk 3 | Aktif
- bıçak göndermesi | Kelime / ifade | Risk 3 | Aktif
- bıçak ifadesi | Kelime / ifade | Risk 3 | Aktif
- bıçak sahnesi | Kelime / ifade | Risk 3 | Aktif
- bıçakla | Kelime / ifade | Risk 3 | Aktif
- bıçakları | Kelime / ifade | Risk 3 | Aktif
